hoarding_id,location,size,traffic_score,monthly_rate,category
H0001,Kandivali Highway,40x20 ft,22,61626,Budget
H0002,Dadar Circle,40x20 ft,89,253109,Premium
H0003,Bandra Main Road,10x8 ft,76,346451,Premium
H0004,Andheri Flyover,40x20 ft,71,114626,Standard
H0005,Bandra Signal,40x20 ft,27,58900,Budget
H0006,Bandra Circle,40x20 ft,51,119092,Standard
H0007,Kandivali Main Road,10x8 ft,86,275243,Premium
H0008,Thane Highway,20x10 ft,88,285197,Premium
H0009,Thane Signal,10x8 ft,77,189140,Premium
H0010,Borivali Junction,40x20 ft,65,114953,Standard
H0011,Vashi Junction,30x15 ft,11,48838,Budget
H0012,Vashi Signal,20x10 ft,87,208709,Premium
H0013,Andheri Flyover,30x15 ft,55,133518,Standard
H0014,Borivali Signal,40x20 ft,19,60347,Budget
H0015,Worli Flyover,10x8 ft,67,123976,Standard
H0016,Borivali Highway,40x20 ft,95,189428,Premium
H0017,Vashi Flyover,10x8 ft,50,75192,Standard
H0018,Chembur Junction,30x15 ft,49,72329,Standard
H0019,Ghatkopar Flyover,20x10 ft,23,42393,Budget
H0020,Dadar Flyover,10x8 ft,84,180580,Premium
H0021,Kandivali Junction,20x10 ft,81,347716,Premium
H0022,Borivali Flyover,10x8 ft,38,35289,Budget
H0023,Vashi Junction,30x15 ft,21,45385,Budget
H0024,Vashi Highway,20x10 ft,20,47061,Budget
H0025,Thane Circle,40x20 ft,75,265392,Premium
H0026,Thane Main Road,20x10 ft,59,99684,Standard
H0027,Malad Flyover,40x20 ft,98,255131,Premium
H0028,Andheri Signal,30x15 ft,25,37456,Budget
H0029,Malad Highway,10x8 ft,60,165087,Standard
H0030,Chembur Main Road,10x8 ft,32,48524,Budget
H0031,Worli Circle,40x20 ft,15,55783,Budget
H0032,Vashi Signal,30x15 ft,97,255569,Premium
H0033,Ghatkopar Circle,10x8 ft,71,75337,Standard
H0034,Kandivali Junction,30x15 ft,47,78221,Standard
H0035,Vashi Flyover,10x8 ft,10,34727,Budget
H0036,Malad Signal,10x8 ft,26,25262,Budget
H0037,Worli Flyover,10x8 ft,89,333510,Premium
H0038,Malad Flyover,40x20 ft,89,255467,Premium
H0039,Bandra Main Road,30x15 ft,15,43516,Budget
H0040,Thane Main Road,10x8 ft,89,347042,Premium
H0041,Andheri Highway,30x15 ft,62,103756,Standard
H0042,Vashi Signal,30x15 ft,39,44902,Budget
H0043,Malad Main Road,20x10 ft,10,41111,Budget
H0044,Andheri Signal,40x20 ft,44,33129,Budget
H0045,Worli Circle,10x8 ft,77,315095,Premium
H0046,Malad Highway,40x20 ft,55,127007,Standard
H0047,Vashi Junction,20x10 ft,97,308498,Premium
H0048,Worli Signal,40x20 ft,97,203082,Premium
H0049,Borivali Junction,20x10 ft,78,339426,Premium
H0050,Andheri Highway,30x15 ft,13,21339,Budget
H0051,Dadar Highway,20x10 ft,95,214806,Premium
H0052,Dadar Highway,30x15 ft,33,36391,Budget
H0053,Bandra Signal,30x15 ft,43,35682,Budget
H0054,Borivali Main Road,40x20 ft,45,95142,Standard
H0055,Chembur Highway,40x20 ft,14,25136,Budget
H0056,Ghatkopar Circle,40x20 ft,65,134435,Standard
H0057,Vashi Junction,10x8 ft,48,169606,Standard
H0058,Powai Flyover,10x8 ft,79,323469,Premium
H0059,Ghatkopar Circle,10x8 ft,66,150275,Standard
H0060,Powai Circle,10x8 ft,32,21763,Budget
H0061,Vashi Highway,40x20 ft,86,241615,Premium
H0062,Vashi Main Road,30x15 ft,10,38355,Budget
H0063,Powai Junction,40x20 ft,14,56886,Budget
H0064,Andheri Flyover,10x8 ft,23,40288,Budget
H0065,Kandivali Main Road,20x10 ft,56,160131,Standard
H0066,Kandivali Circle,40x20 ft,72,76566,Standard
H0067,Powai Main Road,10x8 ft,14,58897,Budget
H0068,Borivali Junction,20x10 ft,61,166430,Standard
H0069,Andheri Main Road,20x10 ft,92,322182,Premium
H0070,Bandra Highway,30x15 ft,24,61918,Budget
H0071,Vashi Junction,10x8 ft,57,89176,Standard
H0072,Malad Flyover,10x8 ft,33,63053,Budget
H0073,Borivali Signal,40x20 ft,55,163993,Standard
H0074,Andheri Signal,10x8 ft,71,140083,Standard
H0075,Malad Highway,20x10 ft,82,265716,Premium
H0076,Worli Highway,20x10 ft,23,30975,Budget
H0077,Dadar Circle,20x10 ft,41,43805,Budget
H0078,Vashi Junction,30x15 ft,24,44711,Budget
H0079,Ghatkopar Signal,40x20 ft,62,144628,Standard
H0080,Borivali Flyover,10x8 ft,75,223751,Premium
H0081,Vashi Main Road,40x20 ft,80,184744,Premium
H0082,Powai Flyover,30x15 ft,91,264053,Premium
H0083,Andheri Junction,40x20 ft,14,40984,Budget
H0084,Borivali Circle,30x15 ft,48,84517,Standard
H0085,Bandra Circle,10x8 ft,58,104907,Standard
H0086,Kandivali Highway,10x8 ft,66,74832,Standard
H0087,Malad Main Road,30x15 ft,62,95643,Standard
H0088,Powai Flyover,40x20 ft,38,56475,Budget
H0089,Powai Main Road,10x8 ft,10,46441,Budget
H0090,Kandivali Junction,30x15 ft,34,61359,Budget
H0091,Kandivali Highway,10x8 ft,65,131463,Standard
H0092,Andheri Highway,40x20 ft,68,161590,Standard
H0093,Kandivali Junction,10x8 ft,12,36516,Budget
H0094,Malad Highway,20x10 ft,35,41657,Budget
H0095,Malad Main Road,10x8 ft,23,21368,Budget
H0096,Andheri Main Road,30x15 ft,95,301573,Premium
H0097,Kandivali Junction,10x8 ft,42,22369,Budget
H0098,Bandra Flyover,10x8 ft,80,207806,Premium
H0099,Vashi Signal,10x8 ft,67,88918,Standard
H0100,Powai Junction,30x15 ft,85,317351,Premium
H0101,Worli Junction,20x10 ft,66,143805,Standard
H0102,Andheri Circle,40x20 ft,57,163236,Standard
H0103,Chembur Junction,10x8 ft,52,82919,Standard
H0104,Thane Flyover,10x8 ft,81,330002,Premium
H0105,Thane Signal,30x15 ft,98,337388,Premium
H0106,Vashi Highway,30x15 ft,43,58090,Budget
H0107,Ghatkopar Highway,40x20 ft,81,273650,Premium
H0108,Ghatkopar Highway,40x20 ft,24,26866,Budget
H0109,Ghatkopar Flyover,40x20 ft,61,91308,Standard
H0110,Ghatkopar Signal,10x8 ft,58,133707,Standard
H0111,Vashi Flyover,20x10 ft,40,21889,Budget
H0112,Ghatkopar Junction,40x20 ft,21,44476,Budget
H0113,Malad Highway,30x15 ft,83,250777,Premium
H0114,Chembur Circle,20x10 ft,75,231712,Premium
H0115,Chembur Junction,20x10 ft,80,193654,Premium
