customer_id,name,industry,budget_band,relationship_score,last_contact_date
C0001,Star Technologies,Healthcare,High,9,2026-03-29
C0002,Golden Realty,Real Estate,Mid,4,2026-02-07
C0003,Bright Foods & Beverages,Finance,Low,1,2026-04-08
C0004,Silver FMCG Co,Tech,Low,3,2026-05-29
C0005,Shree FMCG Co,FMCG,Low,5,2026-08-01
C0006,Bright Healthcare,Healthcare,Low,2,2026-07-17
C0007,Shree Motors,F&B,High,4,2026-06-05
C0008,Apex FMCG Co,F&B,Low,6,2026-06-24
C0009,Zenith Technologies,Automobile,Low,1,2026-07-19
C0010,Silver FMCG Co,FMCG,Mid,3,2026-07-03
C0011,Blue Healthcare,Automobile,Mid,8,2026-01-01
C0012,Silver Healthcare,Entertainment,Mid,1,2026-05-09
C0013,Golden Academy,Entertainment,Low,8,2026-07-23
C0014,Shree Finance Group,F&B,High,1,2026-02-03
C0015,Urban Academy,Real Estate,High,7,2026-06-15
C0016,Bright Healthcare,Education,Mid,3,2026-07-02
C0017,Elite Academy,Real Estate,Low,6,2026-02-19
C0018,Blue Technologies,Retail,High,3,2026-07-01
C0019,Metro Technologies,Tech,Mid,7,2026-07-05
C0020,Golden Technologies,Finance,Mid,9,2026-03-18
C0021,Silver Academy,Education,High,3,2025-12-14
C0022,Om Motors,Healthcare,Low,1,2026-06-27
C0023,Om Studios,Tech,High,1,2026-01-31
C0024,Blue Retail Pvt Ltd,F&B,Mid,9,2026-06-10
C0025,Silver Motors,FMCG,High,4,2026-04-02
C0026,Shree Foods & Beverages,FMCG,Mid,5,2026-05-30
C0027,Prime Academy,FMCG,High,5,2026-01-25
C0028,Zenith Technologies,Retail,High,1,2026-01-08
C0029,Nova Motors,F&B,High,7,2026-01-28
C0030,Shree Technologies,Tech,Mid,9,2025-11-30
C0031,Metro FMCG Co,Automobile,Mid,9,2026-05-13
C0032,Elite FMCG Co,Retail,Mid,6,2026-05-15
C0033,Urban Realty,Retail,High,10,2025-12-30
C0034,Silver Finance Group,Healthcare,Low,6,2026-06-25
C0035,Bright Academy,Real Estate,Low,4,2026-07-11
C0036,Silver Retail Pvt Ltd,Education,High,5,2026-01-22
C0037,Apex Finance Group,F&B,Low,8,2026-01-20
C0038,Blue Motors,Tech,Mid,6,2026-03-30
C0039,Golden Academy,Tech,High,6,2026-03-07
C0040,Prime Technologies,Real Estate,Low,2,2026-01-30
C0041,Nova Technologies,Tech,High,8,2026-07-11
C0042,Nova Retail Pvt Ltd,F&B,Low,10,2026-08-05
C0043,Silver Foods & Beverages,FMCG,Mid,10,2026-06-23
C0044,Apex Technologies,Real Estate,Low,5,2026-05-19
C0045,Urban Finance Group,Retail,Mid,4,2026-03-18
C0046,Metro Motors,Tech,Mid,2,2026-06-25
C0047,Zenith Motors,Automobile,High,8,2026-02-27
C0048,Urban Finance Group,Automobile,High,1,2026-02-28
C0049,Bright FMCG Co,Automobile,High,6,2026-01-10
C0050,Metro Academy,Education,High,3,2026-04-12
C0051,Prime Healthcare,Real Estate,High,6,2026-03-24
C0052,Apex Foods & Beverages,Automobile,Mid,5,2026-06-11
C0053,Urban Realty,Education,Mid,4,2026-01-03
C0054,Silver Healthcare,Automobile,Mid,6,2026-07-28
C0055,Star Motors,Education,High,6,2026-04-22
C0056,Shree Technologies,F&B,Low,7,2026-02-04
C0057,Zenith Technologies,Tech,High,6,2026-07-02
C0058,Nova Studios,Tech,High,7,2026-02-21
C0059,Bright Academy,Entertainment,High,10,2026-02-18
C0060,Golden Studios,F&B,Mid,3,2026-02-08
