booking_id,hoarding_id,customer_id,start_date,end_date,value,industry_at_booking
B00001,H0001,C0026,2024-11-02,2025-03-07,246504,FMCG
B00002,H0001,C0003,2025-04-16,2025-08-03,246504,Finance
B00003,H0001,C0137,2025-08-10,2026-01-01,308130,Automobile
B00004,H0001,C0035,2026-01-18,2026-09-02,308130,Real Estate
B00005,H0002,C0132,2025-07-03,2026-08-02,759327,FMCG
B00006,H0003,C0115,2025-05-03,2025-09-19,1732255,Automobile
B00007,H0003,C0143,2025-10-15,2026-11-22,692902,Education
B00008,H0004,C0019,2024-08-08,2024-10-09,229252,Tech
B00009,H0004,C0092,2024-11-21,2025-03-29,458504,F&B
B00010,H0005,C0090,2025-05-20,2025-07-24,117800,Healthcare
B00011,H0005,C0013,2025-08-31,2025-11-23,176700,Entertainment
B00012,H0005,C0073,2025-12-09,2026-02-26,176700,Tech
B00013,H0006,C0110,2024-05-02,2024-07-28,357276,FMCG
B00014,H0006,C0144,2024-09-15,2026-08-29,595460,FMCG
B00015,H0007,C0010,2024-09-25,2025-02-02,1100972,FMCG
B00016,H0007,C0101,2025-03-20,2025-07-14,1100972,Finance
B00017,H0007,C0145,2025-08-05,2026-08-05,825729,Healthcare
B00018,H0008,C0059,2024-09-13,2025-01-10,1140788,Entertainment
B00019,H0008,C0016,2025-02-17,2025-06-06,1140788,Education
B00020,H0008,C0009,2025-07-01,2025-12-07,1425985,Automobile
B00021,H0008,C0078,2026-01-18,2026-11-25,855591,Real Estate
B00022,H0009,C0100,2024-07-06,2024-10-03,567420,Healthcare
B00023,H0009,C0025,2024-11-29,2025-02-18,567420,FMCG
B00024,H0010,C0050,2024-09-15,2025-03-14,689718,Education
B00025,H0010,C0122,2025-04-27,2025-07-09,229906,Automobile
B00026,H0011,C0033,2024-08-23,2024-11-30,146514,Retail
B00027,H0011,C0134,2024-12-25,2025-05-25,244190,Healthcare
B00028,H0011,C0006,2025-07-10,2025-12-02,244190,Healthcare
B00029,H0011,C0009,2026-01-18,2026-09-27,195352,Automobile
B00030,H0012,C0118,2025-06-23,2025-09-04,417418,Automobile
